date,symbol,signal,entry,stop,target1,target2,score,confidence
2026-05-25 02:08:15,TUPRS.IS,BUY,243.1,226.44,259.76,276.42,85,80
2026-05-25 02:08:15,ASELS.IS,STRONG BUY,410.0,375.76,444.24,478.48,100,89
2026-05-25 02:08:15,KCHOL.IS,BUY,190.2,174.98,205.42,220.64,80,80
2026-05-25 02:08:16,BIMAS.IS,STRONG BUY,392.75,361.61,423.89,455.03,100,91
2026-05-25 02:08:18,EREGL.IS,STRONG BUY,38.68,34.62,42.74,46.8,100,88
2026-05-25 02:11:41,TUPRS.IS,BUY,243.1,226.44,259.76,276.42,85,80
2026-05-25 02:11:41,ASELS.IS,STRONG BUY,410.0,375.76,444.24,478.48,100,89
2026-05-25 02:11:41,KCHOL.IS,BUY,190.2,174.98,205.42,220.64,80,80
2026-05-25 02:11:42,BIMAS.IS,STRONG BUY,392.75,361.61,423.89,455.03,100,91
2026-05-25 02:11:44,EREGL.IS,STRONG BUY,38.68,34.62,42.74,46.8,100,88
2026-05-26 01:05:05,BIMAS.IS,BUY,nan,nan,nan,nan,80,77
2026-05-26 01:07:21,BIMAS.IS,BUY,nan,nan,nan,nan,80,77
2026-05-26 01:08:12,BIMAS.IS,BUY,nan,nan,nan,nan,80,77
2026-05-26 01:18:43,BIMAS.IS,BUY,nan,nan,nan,nan,80,77
2026-05-26 01:41:20,SASA.IS,BUY,2.65,2.19,3.11,3.57,80,76
2026-05-26 01:41:21,SISE.IS,STRONG BUY,45.24,39.94,50.54,55.84,100,95
2026-05-26 01:41:21,THYAO.IS,STRONG BUY,288.0,269.36,306.64,325.28,100,96
2026-05-26 01:41:21,TUPRS.IS,STRONG BUY,243.1,226.44,259.76,276.42,100,95
2026-05-26 01:41:22,ASELS.IS,STRONG BUY,410.0,375.76,444.24,478.48,100,95
2026-05-26 01:41:22,KCHOL.IS,STRONG BUY,190.2,174.98,205.42,220.64,100,98
2026-05-26 01:41:23,YKBNK.IS,STRONG BUY,32.86,29.58,36.14,39.42,100,100
2026-05-26 01:41:23,BIMAS.IS,STRONG BUY,392.75,361.61,423.89,455.03,100,96
2026-05-26 01:41:23,HEKTS.IS,STRONG BUY,3.84,3.06,4.62,5.4,100,94
2026-05-26 01:41:24,PETKM.IS,STRONG BUY,23.22,20.54,25.9,28.58,100,93
2026-05-26 01:41:24,TCELL.IS,STRONG BUY,106.5,98.04,114.96,123.42,100,100
2026-05-26 01:41:24,GARAN.IS,STRONG BUY,122.3,112.84,131.76,141.22,100,100
2026-05-26 01:41:25,EREGL.IS,STRONG BUY,38.68,34.62,42.74,46.8,100,93
